season,division,matchday,date,home_team,away_team,score,year,month,weekday,home_goals,away_goals,result,target,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against,avg_goals_for_combined,avg_goals_against_combined,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against
1990-1991,1,29,1991-04-07,Real Valladolid,Real Sociedad,4:2,1991,4,6,4.0,2.0,1,0,0.75,0.75,1.5,1.75,1.125,1.25,0.75,0.75,1.5,1.75
1990-1991,1,29,1991-04-07,Athletic,Real Zaragoza,2:0,1991,4,6,2.0,0.0,1,0,0.75,2.5,0.6,2.2,0.675,2.35,0.75,2.5,0.6,2.2
1990-1991,1,29,1991-04-07,Real Betis,CD Logroñés,3:2,1991,4,6,3.0,2.0,1,0,1.25,1.5,0.6,1.0,0.925,1.25,2.0,1.0,0.8,1.0
1990-1991,1,29,1991-04-07,Valencia,Real Oviedo,1:1,1991,4,6,1.0,1.0,X,1,2.0,1.0,0.8,1.0,1.4,1.0,2.0,0.4,0.0,0.75
1990-1991,1,29,1991-04-07,Atlético Madrid,CD Castellón,3:1,1991,4,6,3.0,1.0,1,0,2.0,0.4,0.0,0.75,1.0,0.575,1.0,0.8,1.25,1.5
1990-1991,1,29,1991-04-07,CA Osasuna,RCD Mallorca,1:0,1991,4,6,1.0,0.0,1,0,1.0,0.8,1.25,1.5,1.125,1.15,1.2,0.8,0.6,1.6
1990-1991,1,29,1991-04-07,CD Tenerife,Cádiz CF,1:0,1991,4,6,1.0,0.0,1,0,1.2,0.8,0.6,1.6,0.8999999999999999,1.2000000000000002,1.25,1.5,0.6,1.0
1990-1991,1,33,1991-05-04,Real Betis,Valencia,2:2,1991,5,5,2.0,2.0,X,1,1.6,1.6,1.2,0.4,1.4,1.0,1.6,1.6,1.2,0.4
1990-1991,1,33,1991-05-05,CD Castellón,RCD Mallorca,0:1,1991,5,6,0.0,1.0,2,2,1.0,1.0,1.0,1.4,1.0,1.2,1.8,0.8,0.6,2.4
1990-1991,1,33,1991-05-05,Burgos CF,Sevilla FC,1:1,1991,5,6,1.0,1.0,X,1,0.8,1.2,0.2,2.2,0.5,1.7000000000000002,1.6,1.0,1.6,2.2
1990-1991,1,33,1991-05-05,CD Tenerife,Real Madrid,0:1,1991,5,6,0.0,1.0,2,2,1.2,0.8,1.0,1.0,1.1,0.9,1.0,2.0,1.0,1.0
1990-1991,1,33,1991-05-05,Real Valladolid,Espanyol,2:0,1991,5,6,2.0,0.0,1,0,1.4,1.0,1.0,1.2,1.2,1.1,2.2,0.2,0.6,1.6
1990-1991,1,33,1991-05-05,CA Osasuna,CD Logroñés,1:1,1991,5,6,1.0,1.0,X,1,1.2,0.8,0.8,1.6,1.0,1.2000000000000002,1.4,1.0,1.0,1.2
1990-1991,1,33,1991-05-05,Sporting Gijón,Real Sociedad,2:1,1991,5,6,2.0,1.0,1,0,1.6,1.0,1.6,2.2,1.6,1.6,1.2,0.8,1.0,1.0
1990-1991,1,33,1991-05-05,Atlético Madrid,Cádiz CF,0:0,1991,5,6,0.0,0.0,X,1,2.2,0.2,0.6,1.6,1.4000000000000001,0.9,0.8,1.2,0.2,2.2
